icon_name,description
gcp-advanced-agent-modeling,An icon named 'gcp-advanced-agent-modeling' used in the Eraser.io interface for related functionality.
gcp-advanced-solutions-lab,An icon named 'gcp-advanced-solutions-lab' used in the Eraser.io interface for related functionality.
gcp-agent-assist,An icon named 'gcp-agent-assist' used in the Eraser.io interface for related functionality.
gcp-ai-hub,An icon named 'gcp-ai-hub' used in the Eraser.io interface for related functionality.
gcp-ai-platform-unified,An icon named 'gcp-ai-platform-unified' used in the Eraser.io interface for related functionality.
gcp-ai-platform,An icon named 'gcp-ai-platform' used in the Eraser.io interface for related functionality.
gcp-analytics-hub,An icon named 'gcp-analytics-hub' used in the Eraser.io interface for related functionality.
gcp-anthos-config-management,An icon named 'gcp-anthos-config-management' used in the Eraser.io interface for related functionality.
gcp-anthos-service-mesh,An icon named 'gcp-anthos-service-mesh' used in the Eraser.io interface for related functionality.
gcp-anthos,An icon named 'gcp-anthos' used in the Eraser.io interface for related functionality.
gcp-api-analytics,An icon named 'gcp-api-analytics' used in the Eraser.io interface for related functionality.
gcp-api-monetization,An icon named 'gcp-api-monetization' used in the Eraser.io interface for related functionality.
gcp-api,An icon named 'gcp-api' used in the Eraser.io interface for related functionality.
gcp-apigee-api-platform,An icon named 'gcp-apigee-api-platform' used in the Eraser.io interface for related functionality.
gcp-apigee-sense,An icon named 'gcp-apigee-sense' used in the Eraser.io interface for related functionality.
gcp-app-engine,An icon named 'gcp-app-engine' used in the Eraser.io interface for related functionality.
gcp-artifact-registry,An icon named 'gcp-artifact-registry' used in the Eraser.io interface for related functionality.
gcp-asset-inventory,An icon named 'gcp-asset-inventory' used in the Eraser.io interface for related functionality.
gcp-assured-workloads,An icon named 'gcp-assured-workloads' used in the Eraser.io interface for related functionality.
gcp-automl-natural-language,An icon named 'gcp-automl-natural-language' used in the Eraser.io interface for related functionality.
gcp-automl-tables,An icon named 'gcp-automl-tables' used in the Eraser.io interface for related functionality.
gcp-automl-translation,An icon named 'gcp-automl-translation' used in the Eraser.io interface for related functionality.
gcp-automl-video-intelligence,An icon named 'gcp-automl-video-intelligence' used in the Eraser.io interface for related functionality.
gcp-automl-vision,An icon named 'gcp-automl-vision' used in the Eraser.io interface for related functionality.
gcp-automl,An icon named 'gcp-automl' used in the Eraser.io interface for related functionality.
gcp-bare-metal-solutions,An icon named 'gcp-bare-metal-solutions' used in the Eraser.io interface for related functionality.
gcp-batch,An icon named 'gcp-batch' used in the Eraser.io interface for related functionality.
gcp-beyondcorp,An icon named 'gcp-beyondcorp' used in the Eraser.io interface for related functionality.
gcp-bigquery,An icon named 'gcp-bigquery' used in the Eraser.io interface for related functionality.
gcp-bigtable,An icon named 'gcp-bigtable' used in the Eraser.io interface for related functionality.
gcp-billing,An icon named 'gcp-billing' used in the Eraser.io interface for related functionality.
gcp-binary-authorization,An icon named 'gcp-binary-authorization' used in the Eraser.io interface for related functionality.
gcp-catalog,An icon named 'gcp-catalog' used in the Eraser.io interface for related functionality.
gcp-certificate-authority-service,An icon named 'gcp-certificate-authority-service' used in the Eraser.io interface for related functionality.
gcp-certificate-manager,An icon named 'gcp-certificate-manager' used in the Eraser.io interface for related functionality.
gcp-cloud-api-gateway,An icon named 'gcp-cloud-api-gateway' used in the Eraser.io interface for related functionality.
gcp-cloud-apis,An icon named 'gcp-cloud-apis' used in the Eraser.io interface for related functionality.
gcp-cloud-armor,An icon named 'gcp-cloud-armor' used in the Eraser.io interface for related functionality.
gcp-cloud-asset-inventory,An icon named 'gcp-cloud-asset-inventory' used in the Eraser.io interface for related functionality.
gcp-cloud-audit-logs,An icon named 'gcp-cloud-audit-logs' used in the Eraser.io interface for related functionality.
gcp-cloud-build,An icon named 'gcp-cloud-build' used in the Eraser.io interface for related functionality.
gcp-cloud-cdn,An icon named 'gcp-cloud-cdn' used in the Eraser.io interface for related functionality.
gcp-cloud-code,An icon named 'gcp-cloud-code' used in the Eraser.io interface for related functionality.
gcp-cloud-composer,An icon named 'gcp-cloud-composer' used in the Eraser.io interface for related functionality.
gcp-cloud-data-fusion,An icon named 'gcp-cloud-data-fusion' used in the Eraser.io interface for related functionality.
gcp-cloud-deploy,An icon named 'gcp-cloud-deploy' used in the Eraser.io interface for related functionality.
gcp-cloud-deployment-manager,An icon named 'gcp-cloud-deployment-manager' used in the Eraser.io interface for related functionality.
gcp-cloud-dns,An icon named 'gcp-cloud-dns' used in the Eraser.io interface for related functionality.
gcp-cloud-domains,An icon named 'gcp-cloud-domains' used in the Eraser.io interface for related functionality.
gcp-cloud-ekm,An icon named 'gcp-cloud-ekm' used in the Eraser.io interface for related functionality.
gcp-cloud-endpoints,An icon named 'gcp-cloud-endpoints' used in the Eraser.io interface for related functionality.
gcp-cloud-external-ip-addresses,An icon named 'gcp-cloud-external-ip-addresses' used in the Eraser.io interface for related functionality.
gcp-cloud-firewall-rules,An icon named 'gcp-cloud-firewall-rules' used in the Eraser.io interface for related functionality.
gcp-cloud-for-marketing,An icon named 'gcp-cloud-for-marketing' used in the Eraser.io interface for related functionality.
gcp-cloud-functions,An icon named 'gcp-cloud-functions' used in the Eraser.io interface for related functionality.
gcp-cloud-generic,An icon named 'gcp-cloud-generic' used in the Eraser.io interface for related functionality.
gcp-cloud-gpu,An icon named 'gcp-cloud-gpu' used in the Eraser.io interface for related functionality.
gcp-cloud-healthcare-api,An icon named 'gcp-cloud-healthcare-api' used in the Eraser.io interface for related functionality.
gcp-cloud-healthcare-marketplace,An icon named 'gcp-cloud-healthcare-marketplace' used in the Eraser.io interface for related functionality.
gcp-cloud-hsm,An icon named 'gcp-cloud-hsm' used in the Eraser.io interface for related functionality.
gcp-cloud-ids,An icon named 'gcp-cloud-ids' used in the Eraser.io interface for related functionality.
gcp-cloud-inference-api,An icon named 'gcp-cloud-inference-api' used in the Eraser.io interface for related functionality.
gcp-cloud-interconnect,An icon named 'gcp-cloud-interconnect' used in the Eraser.io interface for related functionality.
gcp-cloud-jobs-api,An icon named 'gcp-cloud-jobs-api' used in the Eraser.io interface for related functionality.
gcp-cloud-load-balancing,An icon named 'gcp-cloud-load-balancing' used in the Eraser.io interface for related functionality.
gcp-cloud-logging,An icon named 'gcp-cloud-logging' used in the Eraser.io interface for related functionality.
gcp-cloud-media-edge,An icon named 'gcp-cloud-media-edge' used in the Eraser.io interface for related functionality.
gcp-cloud-monitoring,An icon named 'gcp-cloud-monitoring' used in the Eraser.io interface for related functionality.
gcp-cloud-nat,An icon named 'gcp-cloud-nat' used in the Eraser.io interface for related functionality.
gcp-cloud-natural-language-api,An icon named 'gcp-cloud-natural-language-api' used in the Eraser.io interface for related functionality.
gcp-cloud-network,An icon named 'gcp-cloud-network' used in the Eraser.io interface for related functionality.
gcp-cloud-ops,An icon named 'gcp-cloud-ops' used in the Eraser.io interface for related functionality.
gcp-cloud-optimization-ai---fleet-routing-api,An icon named 'gcp-cloud-optimization-ai---fleet-routing-api' used in the Eraser.io interface for related functionality.
gcp-cloud-optimization-ai,An icon named 'gcp-cloud-optimization-ai' used in the Eraser.io interface for related functionality.
gcp-cloud-router,An icon named 'gcp-cloud-router' used in the Eraser.io interface for related functionality.
gcp-cloud-routes,An icon named 'gcp-cloud-routes' used in the Eraser.io interface for related functionality.
gcp-cloud-run-for-anthos,An icon named 'gcp-cloud-run-for-anthos' used in the Eraser.io interface for related functionality.
gcp-cloud-run,An icon named 'gcp-cloud-run' used in the Eraser.io interface for related functionality.
gcp-cloud-scheduler,An icon named 'gcp-cloud-scheduler' used in the Eraser.io interface for related functionality.
gcp-cloud-security-scanner,An icon named 'gcp-cloud-security-scanner' used in the Eraser.io interface for related functionality.
gcp-cloud-shell,An icon named 'gcp-cloud-shell' used in the Eraser.io interface for related functionality.
gcp-cloud-spanner,An icon named 'gcp-cloud-spanner' used in the Eraser.io interface for related functionality.
gcp-cloud-sql,An icon named 'gcp-cloud-sql' used in the Eraser.io interface for related functionality.
gcp-cloud-storage,An icon named 'gcp-cloud-storage' used in the Eraser.io interface for related functionality.
gcp-cloud-tasks,An icon named 'gcp-cloud-tasks' used in the Eraser.io interface for related functionality.
gcp-cloud-test-lab,An icon named 'gcp-cloud-test-lab' used in the Eraser.io interface for related functionality.
gcp-cloud-tpu,An icon named 'gcp-cloud-tpu' used in the Eraser.io interface for related functionality.
gcp-cloud-translation-api,An icon named 'gcp-cloud-translation-api' used in the Eraser.io interface for related functionality.
gcp-cloud-vision-api,An icon named 'gcp-cloud-vision-api' used in the Eraser.io interface for related functionality.
gcp-cloud-vpn,An icon named 'gcp-cloud-vpn' used in the Eraser.io interface for related functionality.
gcp-compute-engine,An icon named 'gcp-compute-engine' used in the Eraser.io interface for related functionality.
gcp-configuration-management,An icon named 'gcp-configuration-management' used in the Eraser.io interface for related functionality.
gcp-connectivity-test,An icon named 'gcp-connectivity-test' used in the Eraser.io interface for related functionality.
gcp-connectors,An icon named 'gcp-connectors' used in the Eraser.io interface for related functionality.
gcp-contact-center-ai,An icon named 'gcp-contact-center-ai' used in the Eraser.io interface for related functionality.
gcp-container-optimized-os,An icon named 'gcp-container-optimized-os' used in the Eraser.io interface for related functionality.
gcp-container-registry,An icon named 'gcp-container-registry' used in the Eraser.io interface for related functionality.
gcp-data-catalog,An icon named 'gcp-data-catalog' used in the Eraser.io interface for related functionality.
gcp-data-labeling,An icon named 'gcp-data-labeling' used in the Eraser.io interface for related functionality.
gcp-data-layers,An icon named 'gcp-data-layers' used in the Eraser.io interface for related functionality.
gcp-data-loss-prevention-api,An icon named 'gcp-data-loss-prevention-api' used in the Eraser.io interface for related functionality.
gcp-data-qna,An icon named 'gcp-data-qna' used in the Eraser.io interface for related functionality.
gcp-data-studio,An icon named 'gcp-data-studio' used in the Eraser.io interface for related functionality.
gcp-data-transfer,An icon named 'gcp-data-transfer' used in the Eraser.io interface for related functionality.
gcp-database-migration-service,An icon named 'gcp-database-migration-service' used in the Eraser.io interface for related functionality.
gcp-dataflow,An icon named 'gcp-dataflow' used in the Eraser.io interface for related functionality.
gcp-datalab,An icon named 'gcp-datalab' used in the Eraser.io interface for related functionality.
gcp-dataplex,An icon named 'gcp-dataplex' used in the Eraser.io interface for related functionality.
gcp-datapol,An icon named 'gcp-datapol' used in the Eraser.io interface for related functionality.
gcp-dataprep,An icon named 'gcp-dataprep' used in the Eraser.io interface for related functionality.
gcp-dataproc-metastore,An icon named 'gcp-dataproc-metastore' used in the Eraser.io interface for related functionality.
gcp-dataproc,An icon named 'gcp-dataproc' used in the Eraser.io interface for related functionality.
gcp-datashare,An icon named 'gcp-datashare' used in the Eraser.io interface for related functionality.
gcp-datastore,An icon named 'gcp-datastore' used in the Eraser.io interface for related functionality.
gcp-datastream,An icon named 'gcp-datastream' used in the Eraser.io interface for related functionality.
gcp-debugger,An icon named 'gcp-debugger' used in the Eraser.io interface for related functionality.
gcp-developer-portal,An icon named 'gcp-developer-portal' used in the Eraser.io interface for related functionality.
gcp-dialogflow-cx,An icon named 'gcp-dialogflow-cx' used in the Eraser.io interface for related functionality.
gcp-dialogflow-insights,An icon named 'gcp-dialogflow-insights' used in the Eraser.io interface for related functionality.
gcp-dialogflow,An icon named 'gcp-dialogflow' used in the Eraser.io interface for related functionality.
gcp-document-ai,An icon named 'gcp-document-ai' used in the Eraser.io interface for related functionality.
gcp-early-access-center,An icon named 'gcp-early-access-center' used in the Eraser.io interface for related functionality.
gcp-error-reporting,An icon named 'gcp-error-reporting' used in the Eraser.io interface for related functionality.
gcp-eventarc,An icon named 'gcp-eventarc' used in the Eraser.io interface for related functionality.
gcp-filestore,An icon named 'gcp-filestore' used in the Eraser.io interface for related functionality.
gcp-financial-services-marketplace,An icon named 'gcp-financial-services-marketplace' used in the Eraser.io interface for related functionality.
gcp-firestore,An icon named 'gcp-firestore' used in the Eraser.io interface for related functionality.
gcp-fleet-engine,An icon named 'gcp-fleet-engine' used in the Eraser.io interface for related functionality.
gcp-free-trial,An icon named 'gcp-free-trial' used in the Eraser.io interface for related functionality.
gcp-game-servers,An icon named 'gcp-game-servers' used in the Eraser.io interface for related functionality.
gcp-gce-systems-management,An icon named 'gcp-gce-systems-management' used in the Eraser.io interface for related functionality.
gcp-genomics,An icon named 'gcp-genomics' used in the Eraser.io interface for related functionality.
gcp-gke-on-prem,An icon named 'gcp-gke-on-prem' used in the Eraser.io interface for related functionality.
gcp-google-cloud-marketplace,An icon named 'gcp-google-cloud-marketplace' used in the Eraser.io interface for related functionality.
gcp-google-kubernetes-engine,An icon named 'gcp-google-kubernetes-engine' used in the Eraser.io interface for related functionality.
gcp-google-maps-platform,An icon named 'gcp-google-maps-platform' used in the Eraser.io interface for related functionality.
gcp-healthcare-nlp-api,An icon named 'gcp-healthcare-nlp-api' used in the Eraser.io interface for related functionality.
gcp-home,An icon named 'gcp-home' used in the Eraser.io interface for related functionality.
gcp-identity-and-access-management,An icon named 'gcp-identity-and-access-management' used in the Eraser.io interface for related functionality.
gcp-identity-platform,An icon named 'gcp-identity-platform' used in the Eraser.io interface for related functionality.
gcp-identity-aware-proxy,An icon named 'gcp-identity-aware-proxy' used in the Eraser.io interface for related functionality.
gcp-iot-core,An icon named 'gcp-iot-core' used in the Eraser.io interface for related functionality.
gcp-iot-edge,An icon named 'gcp-iot-edge' used in the Eraser.io interface for related functionality.
gcp-key-access-justifications,An icon named 'gcp-key-access-justifications' used in the Eraser.io interface for related functionality.
gcp-key-management-service,An icon named 'gcp-key-management-service' used in the Eraser.io interface for related functionality.
gcp-kuberun,An icon named 'gcp-kuberun' used in the Eraser.io interface for related functionality.
gcp-launcher,An icon named 'gcp-launcher' used in the Eraser.io interface for related functionality.
gcp-local-ssd,An icon named 'gcp-local-ssd' used in the Eraser.io interface for related functionality.
gcp-looker,An icon named 'gcp-looker' used in the Eraser.io interface for related functionality.
gcp-managed-service-for-microsoft-active-directory,An icon named 'gcp-managed-service-for-microsoft-active-directory' used in the Eraser.io interface for related functionality.
gcp-media-translation-api,An icon named 'gcp-media-translation-api' used in the Eraser.io interface for related functionality.
gcp-memorystore,An icon named 'gcp-memorystore' used in the Eraser.io interface for related functionality.
gcp-migrate-for-anthos,An icon named 'gcp-migrate-for-anthos' used in the Eraser.io interface for related functionality.
gcp-migrate-for-compute-engine,An icon named 'gcp-migrate-for-compute-engine' used in the Eraser.io interface for related functionality.
gcp-my-cloud,An icon named 'gcp-my-cloud' used in the Eraser.io interface for related functionality.
gcp-network-connectivity-center,An icon named 'gcp-network-connectivity-center' used in the Eraser.io interface for related functionality.
gcp-network-intelligence-center,An icon named 'gcp-network-intelligence-center' used in the Eraser.io interface for related functionality.
gcp-network-security,An icon named 'gcp-network-security' used in the Eraser.io interface for related functionality.
gcp-network-tiers,An icon named 'gcp-network-tiers' used in the Eraser.io interface for related functionality.
gcp-network-topology,An icon named 'gcp-network-topology' used in the Eraser.io interface for related functionality.
gcp-onboarding,An icon named 'gcp-onboarding' used in the Eraser.io interface for related functionality.
gcp-os-configuration-management,An icon named 'gcp-os-configuration-management' used in the Eraser.io interface for related functionality.
gcp-os-inventory-management,An icon named 'gcp-os-inventory-management' used in the Eraser.io interface for related functionality.
gcp-os-patch-management,An icon named 'gcp-os-patch-management' used in the Eraser.io interface for related functionality.
gcp-partner-interconnect,An icon named 'gcp-partner-interconnect' used in the Eraser.io interface for related functionality.
gcp-partner-portal,An icon named 'gcp-partner-portal' used in the Eraser.io interface for related functionality.
gcp-performance-dashboard,An icon named 'gcp-performance-dashboard' used in the Eraser.io interface for related functionality.
gcp-permissions,An icon named 'gcp-permissions' used in the Eraser.io interface for related functionality.
gcp-persistent-disk,An icon named 'gcp-persistent-disk' used in the Eraser.io interface for related functionality.
gcp-phishing-protection,An icon named 'gcp-phishing-protection' used in the Eraser.io interface for related functionality.
gcp-policy-analyzer,An icon named 'gcp-policy-analyzer' used in the Eraser.io interface for related functionality.
gcp-premium-network-tier,An icon named 'gcp-premium-network-tier' used in the Eraser.io interface for related functionality.
gcp-private-connectivity,An icon named 'gcp-private-connectivity' used in the Eraser.io interface for related functionality.
gcp-private-service-connect,An icon named 'gcp-private-service-connect' used in the Eraser.io interface for related functionality.
gcp-producer-portal,An icon named 'gcp-producer-portal' used in the Eraser.io interface for related functionality.
gcp-profiler,An icon named 'gcp-profiler' used in the Eraser.io interface for related functionality.
gcp-project,An icon named 'gcp-project' used in the Eraser.io interface for related functionality.
gcp-pubsub,An icon named 'gcp-pubsub' used in the Eraser.io interface for related functionality.
gcp-quantum-engine,An icon named 'gcp-quantum-engine' used in the Eraser.io interface for related functionality.
gcp-quotas,An icon named 'gcp-quotas' used in the Eraser.io interface for related functionality.
gcp-real-world-insights,An icon named 'gcp-real-world-insights' used in the Eraser.io interface for related functionality.
gcp-recommendations-ai,An icon named 'gcp-recommendations-ai' used in the Eraser.io interface for related functionality.
gcp-release-notes,An icon named 'gcp-release-notes' used in the Eraser.io interface for related functionality.
gcp-retail-api,An icon named 'gcp-retail-api' used in the Eraser.io interface for related functionality.
gcp-risk-manager,An icon named 'gcp-risk-manager' used in the Eraser.io interface for related functionality.
gcp-runtime-config,An icon named 'gcp-runtime-config' used in the Eraser.io interface for related functionality.
gcp-secret-manager,An icon named 'gcp-secret-manager' used in the Eraser.io interface for related functionality.
gcp-security-command-center,An icon named 'gcp-security-command-center' used in the Eraser.io interface for related functionality.
gcp-security-health-advisor,An icon named 'gcp-security-health-advisor' used in the Eraser.io interface for related functionality.
gcp-security-key-enforcement,An icon named 'gcp-security-key-enforcement' used in the Eraser.io interface for related functionality.
gcp-security,An icon named 'gcp-security' used in the Eraser.io interface for related functionality.
gcp-service-discovery,An icon named 'gcp-service-discovery' used in the Eraser.io interface for related functionality.
gcp-speech-to-text,An icon named 'gcp-speech-to-text' used in the Eraser.io interface for related functionality.
gcp-stackdriver,An icon named 'gcp-stackdriver' used in the Eraser.io interface for related functionality.
gcp-standard-network-tier,An icon named 'gcp-standard-network-tier' used in the Eraser.io interface for related functionality.
gcp-stream-suite,An icon named 'gcp-stream-suite' used in the Eraser.io interface for related functionality.
gcp-support,An icon named 'gcp-support' used in the Eraser.io interface for related functionality.
gcp-tensorflow-enterprise,An icon named 'gcp-tensorflow-enterprise' used in the Eraser.io interface for related functionality.
gcp-text-to-speech,An icon named 'gcp-text-to-speech' used in the Eraser.io interface for related functionality.
gcp-tools-for-powershell,An icon named 'gcp-tools-for-powershell' used in the Eraser.io interface for related functionality.
gcp-trace,An icon named 'gcp-trace' used in the Eraser.io interface for related functionality.
gcp-traffic-director,An icon named 'gcp-traffic-director' used in the Eraser.io interface for related functionality.
gcp-transfer-appliance,An icon named 'gcp-transfer-appliance' used in the Eraser.io interface for related functionality.
gcp-transfer,An icon named 'gcp-transfer' used in the Eraser.io interface for related functionality.
gcp-user-preferences,An icon named 'gcp-user-preferences' used in the Eraser.io interface for related functionality.
gcp-vertexai,An icon named 'gcp-vertexai' used in the Eraser.io interface for related functionality.
gcp-video-intelligence-api,An icon named 'gcp-video-intelligence-api' used in the Eraser.io interface for related functionality.
gcp-virtual-private-cloud,An icon named 'gcp-virtual-private-cloud' used in the Eraser.io interface for related functionality.
gcp-visual-inspection,An icon named 'gcp-visual-inspection' used in the Eraser.io interface for related functionality.
gcp-vmware-engine,An icon named 'gcp-vmware-engine' used in the Eraser.io interface for related functionality.
gcp-web-risk,An icon named 'gcp-web-risk' used in the Eraser.io interface for related functionality.
gcp-web-security-scanner,An icon named 'gcp-web-security-scanner' used in the Eraser.io interface for related functionality.
gcp-workflows,An icon named 'gcp-workflows' used in the Eraser.io interface for related functionality.
gcp-workload-identity-pool,An icon named 'gcp-workload-identity-pool' used in the Eraser.io interface for related functionality.
azure-batch-ai,An icon named 'azure-batch-ai' used in the Eraser.io interface for related functionality.
azure-machine-learning-studio-classic-web-services,An icon named 'azure-machine-learning-studio-classic-web-services' used in the Eraser.io interface for related functionality.
azure-genomics,An icon named 'azure-genomics' used in the Eraser.io interface for related functionality.
azure-translator-text,An icon named 'azure-translator-text' used in the Eraser.io interface for related functionality.
azure-experimentation-studio,An icon named 'azure-experimentation-studio' used in the Eraser.io interface for related functionality.
azure-object-understanding,An icon named 'azure-object-understanding' used in the Eraser.io interface for related functionality.
azure-cognitive-services,An icon named 'azure-cognitive-services' used in the Eraser.io interface for related functionality.
azure-genomics-accounts,An icon named 'azure-genomics-accounts' used in the Eraser.io interface for related functionality.
azure-bot-services,An icon named 'azure-bot-services' used in the Eraser.io interface for related functionality.
azure-machine-learning,An icon named 'azure-machine-learning' used in the Eraser.io interface for related functionality.
azure-machine-learning-studio-workspaces,An icon named 'azure-machine-learning-studio-workspaces' used in the Eraser.io interface for related functionality.
azure-machine-learning-studio-web-service-plans,An icon named 'azure-machine-learning-studio-web-service-plans' used in the Eraser.io interface for related functionality.
azure-applied-ai,An icon named 'azure-applied-ai' used in the Eraser.io interface for related functionality.
azure-language-services,An icon named 'azure-language-services' used in the Eraser.io interface for related functionality.
azure-log-analytics-workspaces,An icon named 'azure-log-analytics-workspaces' used in the Eraser.io interface for related functionality.
azure-event-hubs,An icon named 'azure-event-hubs' used in the Eraser.io interface for related functionality.
azure-stream-analytics-jobs,An icon named 'azure-stream-analytics-jobs' used in the Eraser.io interface for related functionality.
azure-endpoint-analytics,An icon named 'azure-endpoint-analytics' used in the Eraser.io interface for related functionality.
azure-synapse-analytics,An icon named 'azure-synapse-analytics' used in the Eraser.io interface for related functionality.
azure-workbooks,An icon named 'azure-workbooks' used in the Eraser.io interface for related functionality.
azure-hd-insight-clusters,An icon named 'azure-hd-insight-clusters' used in the Eraser.io interface for related functionality.
azure-data-lake-analytics,An icon named 'azure-data-lake-analytics' used in the Eraser.io interface for related functionality.
azure-analysis-services,An icon named 'azure-analysis-services' used in the Eraser.io interface for related functionality.
azure-event-hub-clusters,An icon named 'azure-event-hub-clusters' used in the Eraser.io interface for related functionality.
azure-data-lake-store-gen1,An icon named 'azure-data-lake-store-gen1' used in the Eraser.io interface for related functionality.
azure-databricks,An icon named 'azure-databricks' used in the Eraser.io interface for related functionality.
azure-app-service-plans,An icon named 'azure-app-service-plans' used in the Eraser.io interface for related functionality.
azure-app-service-certificates,An icon named 'azure-app-service-certificates' used in the Eraser.io interface for related functionality.
azure-app-service-domains,An icon named 'azure-app-service-domains' used in the Eraser.io interface for related functionality.
azure-cdn-profiles,An icon named 'azure-cdn-profiles' used in the Eraser.io interface for related functionality.
azure-app-services,An icon named 'azure-app-services' used in the Eraser.io interface for related functionality.
azure-api-management-services,An icon named 'azure-api-management-services' used in the Eraser.io interface for related functionality.
azure-search-services,An icon named 'azure-search-services' used in the Eraser.io interface for related functionality.
azure-notification-hubs,An icon named 'azure-notification-hubs' used in the Eraser.io interface for related functionality.
azure-app-service-environments,An icon named 'azure-app-service-environments' used in the Eraser.io interface for related functionality.
azure-collaborative-service,An icon named 'azure-collaborative-service' used in the Eraser.io interface for related functionality.
azure-applens,An icon named 'azure-applens' used in the Eraser.io interface for related functionality.
azure-hybrid-center,An icon named 'azure-hybrid-center' used in the Eraser.io interface for related functionality.
azure-multi-tenancy,An icon named 'azure-multi-tenancy' used in the Eraser.io interface for related functionality.
azure-infrastructure-backup,An icon named 'azure-infrastructure-backup' used in the Eraser.io interface for related functionality.
azure-capacity,An icon named 'azure-capacity' used in the Eraser.io interface for related functionality.
azure-offers,An icon named 'azure-offers' used in the Eraser.io interface for related functionality.
azure-user-subscriptions,An icon named 'azure-user-subscriptions' used in the Eraser.io interface for related functionality.
azure-plans,An icon named 'azure-plans' used in the Eraser.io interface for related functionality.
azure-stack,An icon named 'azure-stack' used in the Eraser.io interface for related functionality.
azure-updates,An icon named 'azure-updates' used in the Eraser.io interface for related functionality.
azure-avs,An icon named 'azure-avs' used in the Eraser.io interface for related functionality.
azure-blockchain-applications,An icon named 'azure-blockchain-applications' used in the Eraser.io interface for related functionality.
azure-outbound-connection,An icon named 'azure-outbound-connection' used in the Eraser.io interface for related functionality.
azure-blockchain-service,An icon named 'azure-blockchain-service' used in the Eraser.io interface for related functionality.
azure-token-service,An icon named 'azure-token-service' used in the Eraser.io interface for related functionality.
azure-abs-member,An icon named 'azure-abs-member' used in the Eraser.io interface for related functionality.
azure-consortium,An icon named 'azure-consortium' used in the Eraser.io interface for related functionality.
azure-maintenance-configuration,An icon named 'azure-maintenance-configuration' used in the Eraser.io interface for related functionality.
azure-disk-encryption-sets,An icon named 'azure-disk-encryption-sets' used in the Eraser.io interface for related functionality.
azure-workspaces,An icon named 'azure-workspaces' used in the Eraser.io interface for related functionality.
azure-automanaged-vm,An icon named 'azure-automanaged-vm' used in the Eraser.io interface for related functionality.
azure-managed-service-fabric,An icon named 'azure-managed-service-fabric' used in the Eraser.io interface for related functionality.
azure-metrics-advisor,An icon named 'azure-metrics-advisor' used in the Eraser.io interface for related functionality.
azure-image-templates,An icon named 'azure-image-templates' used in the Eraser.io interface for related functionality.
azure-restore-points,An icon named 'azure-restore-points' used in the Eraser.io interface for related functionality.
azure-restore-points-collections,An icon named 'azure-restore-points-collections' used in the Eraser.io interface for related functionality.
azure-compute-galleries,An icon named 'azure-compute-galleries' used in the Eraser.io interface for related functionality.
azure-virtual-machine,An icon named 'azure-virtual-machine' used in the Eraser.io interface for related functionality.
azure-kubernetes-services,An icon named 'azure-kubernetes-services' used in the Eraser.io interface for related functionality.
azure-mesh-applications,An icon named 'azure-mesh-applications' used in the Eraser.io interface for related functionality.
azure-availability-sets,An icon named 'azure-availability-sets' used in the Eraser.io interface for related functionality.
azure-disks-snapshots,An icon named 'azure-disks-snapshots' used in the Eraser.io interface for related functionality.
azure-os-images-classic,An icon named 'azure-os-images-classic' used in the Eraser.io interface for related functionality.
azure-virtual-machines-classic,An icon named 'azure-virtual-machines-classic' used in the Eraser.io interface for related functionality.
azure-function-apps,An icon named 'azure-function-apps' used in the Eraser.io interface for related functionality.
azure-cloud-services-classic,An icon named 'azure-cloud-services-classic' used in the Eraser.io interface for related functionality.
azure-batch-accounts,An icon named 'azure-batch-accounts' used in the Eraser.io interface for related functionality.
azure-disks,An icon named 'azure-disks' used in the Eraser.io interface for related functionality.
azure-images,An icon named 'azure-images' used in the Eraser.io interface for related functionality.
azure-vm-scale-sets,An icon named 'azure-vm-scale-sets' used in the Eraser.io interface for related functionality.
azure-service-fabric-clusters,An icon named 'azure-service-fabric-clusters' used in the Eraser.io interface for related functionality.
azure-image-definitions,An icon named 'azure-image-definitions' used in the Eraser.io interface for related functionality.
azure-image-versions,An icon named 'azure-image-versions' used in the Eraser.io interface for related functionality.
azure-shared-image-galleries,An icon named 'azure-shared-image-galleries' used in the Eraser.io interface for related functionality.
azure-vm-images-classic,An icon named 'azure-vm-images-classic' used in the Eraser.io interface for related functionality.
azure-disks-classic,An icon named 'azure-disks-classic' used in the Eraser.io interface for related functionality.
azure-container-services-deprecated,An icon named 'azure-container-services-deprecated' used in the Eraser.io interface for related functionality.
azure-container-instances,An icon named 'azure-container-instances' used in the Eraser.io interface for related functionality.
azure-host-groups,An icon named 'azure-host-groups' used in the Eraser.io interface for related functionality.
azure-hosts,An icon named 'azure-hosts' used in the Eraser.io interface for related functionality.
azure-spring-cloud,An icon named 'azure-spring-cloud' used in the Eraser.io interface for related functionality.
azure-container-registries,An icon named 'azure-container-registries' used in the Eraser.io interface for related functionality.
azure-sql-data-warehouses,An icon named 'azure-sql-data-warehouses' used in the Eraser.io interface for related functionality.
azure-sql,An icon named 'azure-sql' used in the Eraser.io interface for related functionality.
azure-ssis-lift-and-shift-ir,An icon named 'azure-ssis-lift-and-shift-ir' used in the Eraser.io interface for related functionality.
azure-purview-accounts,An icon named 'azure-purview-accounts' used in the Eraser.io interface for related functionality.
azure-sql-edge,An icon named 'azure-sql-edge' used in the Eraser.io interface for related functionality.
